False,Justification 408
True,Justification 395
True,Justification 755
True,Justification 521
False,Justification 688
False,Justification 620
True,Justification 828
True,Justification 307
True,Justification 767
False,Justification 841
True,Justification 22
True,Justification 863
True,Justification 869
False,Justification 242
True,Justification 802
True,Justification 219
True,Justification 440
True,Justification 943
False,Justification 629
True,Justification 124
False,Justification 289
False,Justification 846
False,Justification 199
False,Justification 869
True,Justification 497
True,Justification 597
False,Justification 43
False,Justification 442
True,Justification 562
True,Justification 933
True,Justification 372
False,Justification 661
True,Justification 455
False,Justification 552
True,Justification 842
False,Justification 851
False,Justification 825
False,Justification 889
True,Justification 570
False,Justification 70
True,Justification 220
True,Justification 935
True,Justification 908
False,Justification 388
False,Justification 167
True,Justification 674
False,Justification 777
False,Justification 551
True,Justification 658
True,Justification 791
False,Justification 298
True,Justification 59
False,Justification 737
True,Justification 276
True,Justification 830
True,Justification 151
True,Justification 9
True,Justification 129
False,Justification 169
False,Justification 120
True,Justification 46
False,Justification 920
True,Justification 558
False,Justification 529
True,Justification 409
True,Justification 742
True,Justification 488
False,Justification 682
False,Justification 143
True,Justification 765
False,Justification 773
True,Justification 764
True,Justification 8
False,Justification 368
True,Justification 792
False,Justification 61
False,Justification 727
True,Justification 903
True,Justification 779
False,Justification 242
False,Justification 553
True,Justification 947
False,Justification 483
True,Justification 59
True,Justification 682
True,Justification 241
False,Justification 385
True,Justification 605
True,Justification 240
True,Justification 414
False,Justification 920
True,Justification 239
False,Justification 289
False,Justification 185
False,Justification 760
True,Justification 498
True,Justification 311
False,Justification 534
False,Justification 803
False,Justification 793
